Circuit: * C:\Users\user\Documents\LTspiceXVII\file\Montecarlo\monte_SiC.asc

Direct Newton iteration for .op point succeeded.
.step tol1=0 freq=200000
.step tol1=0.05 freq=200000
.step tol1=0.1 freq=200000
.step tol1=0.15 freq=200000
.step tol1=0.2 freq=200000
.step tol1=0.25 freq=200000
.step tol1=0.3 freq=200000
.step tol1=0.35 freq=200000
.step tol1=0.4 freq=200000
.step tol1=0.45 freq=200000
.step tol1=0.5 freq=200000
.step tol1=0.55 freq=200000
.step tol1=0.6 freq=200000
.step tol1=0.65 freq=200000
.step tol1=0.7 freq=200000
.step tol1=0.75 freq=200000
.step tol1=0.8 freq=200000
.step tol1=0.85 freq=200000
.step tol1=0.9 freq=200000
.step tol1=0.95 freq=200000
.step tol1=1 freq=200000
.step tol1=1.05 freq=200000
.step tol1=1.1 freq=200000
.step tol1=1.15 freq=200000
.step tol1=1.2 freq=200000
.step tol1=1.25 freq=200000
.step tol1=1.3 freq=200000
.step tol1=1.35 freq=200000
.step tol1=1.4 freq=200000
.step tol1=1.45 freq=200000
.step tol1=1.5 freq=200000
.step tol1=1.55 freq=200000
.step tol1=1.6 freq=200000
.step tol1=1.65 freq=200000
.step tol1=1.7 freq=200000
.step tol1=1.75 freq=200000
.step tol1=1.8 freq=200000
.step tol1=1.85 freq=200000
.step tol1=1.9 freq=200000
.step tol1=1.95 freq=200000
.step tol1=2 freq=200000
.step tol1=2.05 freq=200000
.step tol1=2.1 freq=200000
.step tol1=2.15 freq=200000
.step tol1=2.2 freq=200000
.step tol1=2.25 freq=200000
.step tol1=2.3 freq=200000
.step tol1=2.35 freq=200000
.step tol1=2.4 freq=200000
.step tol1=2.45 freq=200000
.step tol1=2.5 freq=200000
.step tol1=2.55 freq=200000
.step tol1=2.6 freq=200000
.step tol1=2.65 freq=200000
.step tol1=2.7 freq=200000
.step tol1=2.75 freq=200000
.step tol1=2.8 freq=200000
.step tol1=2.85 freq=200000
.step tol1=2.9 freq=200000
.step tol1=2.95 freq=200000
.step tol1=3 freq=200000
.step tol1=0 freq=150000
.step tol1=0.05 freq=150000
.step tol1=0.1 freq=150000
.step tol1=0.15 freq=150000
.step tol1=0.2 freq=150000
.step tol1=0.25 freq=150000
.step tol1=0.3 freq=150000
.step tol1=0.35 freq=150000
.step tol1=0.4 freq=150000
.step tol1=0.45 freq=150000
.step tol1=0.5 freq=150000
.step tol1=0.55 freq=150000
.step tol1=0.6 freq=150000
.step tol1=0.65 freq=150000
.step tol1=0.7 freq=150000
.step tol1=0.75 freq=150000
.step tol1=0.8 freq=150000
.step tol1=0.85 freq=150000
.step tol1=0.9 freq=150000
.step tol1=0.95 freq=150000
.step tol1=1 freq=150000
.step tol1=1.05 freq=150000
.step tol1=1.1 freq=150000
.step tol1=1.15 freq=150000
.step tol1=1.2 freq=150000
.step tol1=1.25 freq=150000
.step tol1=1.3 freq=150000
.step tol1=1.35 freq=150000
.step tol1=1.4 freq=150000
.step tol1=1.45 freq=150000
.step tol1=1.5 freq=150000
.step tol1=1.55 freq=150000
.step tol1=1.6 freq=150000
.step tol1=1.65 freq=150000
.step tol1=1.7 freq=150000
.step tol1=1.75 freq=150000
.step tol1=1.8 freq=150000
.step tol1=1.85 freq=150000
.step tol1=1.9 freq=150000
.step tol1=1.95 freq=150000
.step tol1=2 freq=150000
.step tol1=2.05 freq=150000
.step tol1=2.1 freq=150000
.step tol1=2.15 freq=150000
.step tol1=2.2 freq=150000
.step tol1=2.25 freq=150000
.step tol1=2.3 freq=150000
.step tol1=2.35 freq=150000
.step tol1=2.4 freq=150000
.step tol1=2.45 freq=150000
.step tol1=2.5 freq=150000
.step tol1=2.55 freq=150000
.step tol1=2.6 freq=150000
.step tol1=2.65 freq=150000
.step tol1=2.7 freq=150000
.step tol1=2.75 freq=150000
.step tol1=2.8 freq=150000
.step tol1=2.85 freq=150000
.step tol1=2.9 freq=150000
.step tol1=2.95 freq=150000
.step tol1=3 freq=150000
.step tol1=0 freq=100000
.step tol1=0.05 freq=100000
.step tol1=0.1 freq=100000
.step tol1=0.15 freq=100000
.step tol1=0.2 freq=100000
.step tol1=0.25 freq=100000
.step tol1=0.3 freq=100000
.step tol1=0.35 freq=100000
.step tol1=0.4 freq=100000
.step tol1=0.45 freq=100000
.step tol1=0.5 freq=100000
.step tol1=0.55 freq=100000
.step tol1=0.6 freq=100000
.step tol1=0.65 freq=100000
.step tol1=0.7 freq=100000
.step tol1=0.75 freq=100000
.step tol1=0.8 freq=100000
.step tol1=0.85 freq=100000
.step tol1=0.9 freq=100000
.step tol1=0.95 freq=100000
.step tol1=1 freq=100000
.step tol1=1.05 freq=100000
.step tol1=1.1 freq=100000
.step tol1=1.15 freq=100000
.step tol1=1.2 freq=100000
.step tol1=1.25 freq=100000
.step tol1=1.3 freq=100000
.step tol1=1.35 freq=100000
.step tol1=1.4 freq=100000
.step tol1=1.45 freq=100000
.step tol1=1.5 freq=100000
.step tol1=1.55 freq=100000
.step tol1=1.6 freq=100000
.step tol1=1.65 freq=100000
.step tol1=1.7 freq=100000
.step tol1=1.75 freq=100000
.step tol1=1.8 freq=100000
.step tol1=1.85 freq=100000
.step tol1=1.9 freq=100000
.step tol1=1.95 freq=100000
.step tol1=2 freq=100000
.step tol1=2.05 freq=100000
.step tol1=2.1 freq=100000
.step tol1=2.15 freq=100000
.step tol1=2.2 freq=100000
.step tol1=2.25 freq=100000
.step tol1=2.3 freq=100000
.step tol1=2.35 freq=100000
.step tol1=2.4 freq=100000
.step tol1=2.45 freq=100000
.step tol1=2.5 freq=100000
.step tol1=2.55 freq=100000
.step tol1=2.6 freq=100000
.step tol1=2.65 freq=100000
.step tol1=2.7 freq=100000
.step tol1=2.75 freq=100000
.step tol1=2.8 freq=100000
.step tol1=2.85 freq=100000
.step tol1=2.9 freq=100000
.step tol1=2.95 freq=100000
.step tol1=3 freq=100000
.step tol1=0 freq=80000
.step tol1=0.05 freq=80000
.step tol1=0.1 freq=80000
.step tol1=0.15 freq=80000
.step tol1=0.2 freq=80000
.step tol1=0.25 freq=80000
.step tol1=0.3 freq=80000
.step tol1=0.35 freq=80000
.step tol1=0.4 freq=80000
.step tol1=0.45 freq=80000
.step tol1=0.5 freq=80000
.step tol1=0.55 freq=80000
.step tol1=0.6 freq=80000
.step tol1=0.65 freq=80000
.step tol1=0.7 freq=80000
.step tol1=0.75 freq=80000
.step tol1=0.8 freq=80000
.step tol1=0.85 freq=80000
.step tol1=0.9 freq=80000
.step tol1=0.95 freq=80000
.step tol1=1 freq=80000
.step tol1=1.05 freq=80000
.step tol1=1.1 freq=80000
.step tol1=1.15 freq=80000
.step tol1=1.2 freq=80000
.step tol1=1.25 freq=80000
.step tol1=1.3 freq=80000
.step tol1=1.35 freq=80000
.step tol1=1.4 freq=80000
.step tol1=1.45 freq=80000
.step tol1=1.5 freq=80000
.step tol1=1.55 freq=80000
.step tol1=1.6 freq=80000
.step tol1=1.65 freq=80000
.step tol1=1.7 freq=80000
.step tol1=1.75 freq=80000
.step tol1=1.8 freq=80000
.step tol1=1.85 freq=80000
.step tol1=1.9 freq=80000
.step tol1=1.95 freq=80000
.step tol1=2 freq=80000
.step tol1=2.05 freq=80000
.step tol1=2.1 freq=80000
.step tol1=2.15 freq=80000
.step tol1=2.2 freq=80000
.step tol1=2.25 freq=80000
.step tol1=2.3 freq=80000
.step tol1=2.35 freq=80000
.step tol1=2.4 freq=80000
.step tol1=2.45 freq=80000
.step tol1=2.5 freq=80000
.step tol1=2.55 freq=80000
.step tol1=2.6 freq=80000
.step tol1=2.65 freq=80000
.step tol1=2.7 freq=80000
.step tol1=2.75 freq=80000
.step tol1=2.8 freq=80000
.step tol1=2.85 freq=80000
.step tol1=2.9 freq=80000
.step tol1=2.95 freq=80000
.step tol1=3 freq=80000
.step tol1=0 freq=60000
.step tol1=0.05 freq=60000
.step tol1=0.1 freq=60000
.step tol1=0.15 freq=60000
.step tol1=0.2 freq=60000
.step tol1=0.25 freq=60000
.step tol1=0.3 freq=60000
.step tol1=0.35 freq=60000
.step tol1=0.4 freq=60000
.step tol1=0.45 freq=60000
.step tol1=0.5 freq=60000
.step tol1=0.55 freq=60000
.step tol1=0.6 freq=60000
.step tol1=0.65 freq=60000
.step tol1=0.7 freq=60000
.step tol1=0.75 freq=60000
.step tol1=0.8 freq=60000
.step tol1=0.85 freq=60000
.step tol1=0.9 freq=60000
.step tol1=0.95 freq=60000
.step tol1=1 freq=60000
.step tol1=1.05 freq=60000
.step tol1=1.1 freq=60000
.step tol1=1.15 freq=60000
.step tol1=1.2 freq=60000
.step tol1=1.25 freq=60000
.step tol1=1.3 freq=60000
.step tol1=1.35 freq=60000
.step tol1=1.4 freq=60000
.step tol1=1.45 freq=60000
.step tol1=1.5 freq=60000
.step tol1=1.55 freq=60000
.step tol1=1.6 freq=60000
.step tol1=1.65 freq=60000
.step tol1=1.7 freq=60000
.step tol1=1.75 freq=60000
.step tol1=1.8 freq=60000
.step tol1=1.85 freq=60000
.step tol1=1.9 freq=60000
.step tol1=1.95 freq=60000
.step tol1=2 freq=60000
.step tol1=2.05 freq=60000
.step tol1=2.1 freq=60000
.step tol1=2.15 freq=60000
.step tol1=2.2 freq=60000
.step tol1=2.25 freq=60000
.step tol1=2.3 freq=60000
.step tol1=2.35 freq=60000
.step tol1=2.4 freq=60000
.step tol1=2.45 freq=60000
.step tol1=2.5 freq=60000
.step tol1=2.55 freq=60000
.step tol1=2.6 freq=60000
.step tol1=2.65 freq=60000
.step tol1=2.7 freq=60000
.step tol1=2.75 freq=60000
.step tol1=2.8 freq=60000
.step tol1=2.85 freq=60000
.step tol1=2.9 freq=60000
.step tol1=2.95 freq=60000
.step tol1=3 freq=60000


Measurement: imax
  step	MAX(-i(v1))	FROM	TO
     1	47.9818	0	5e-006
     2	47.9799	0	5e-006
     3	47.978	0	5e-006
     4	47.9759	0	5e-006
     5	47.9737	0	5e-006
     6	47.9715	0	5e-006
     7	47.9693	0	5e-006
     8	47.9669	0	5e-006
     9	47.9644	0	5e-006
    10	47.962	0	5e-006
    11	47.9591	0	5e-006
    12	47.9565	0	5e-006
    13	47.9533	0	5e-006
    14	47.9503	0	5e-006
    15	47.947	0	5e-006
    16	47.9436	0	5e-006
    17	47.94	0	5e-006
    18	47.9362	0	5e-006
    19	47.9322	0	5e-006
    20	47.9279	0	5e-006
    21	47.9235	0	5e-006
    22	47.9187	0	5e-006
    23	47.9137	0	5e-006
    24	47.9082	0	5e-006
    25	47.9026	0	5e-006
    26	47.8965	0	5e-006
    27	47.8899	0	5e-006
    28	47.8829	0	5e-006
    29	47.8752	0	5e-006
    30	47.867	0	5e-006
    31	47.8579	0	5e-006
    32	47.8483	0	5e-006
    33	47.8375	0	5e-006
    34	47.8256	0	5e-006
    35	47.8125	0	5e-006
    36	47.7979	0	5e-006
    37	47.7814	0	5e-006
    38	47.7627	0	5e-006
    39	47.7411	0	5e-006
    40	47.716	0	5e-006
    41	47.6862	0	5e-006
    42	47.65	0	5e-006
    43	47.6043	0	5e-006
    44	47.5432	0	5e-006
    45	47.4065	0	5e-006
    46	45.3283	0	5e-006
    47	42.4857	0	5e-006
    48	38.8673	0	5e-006
    49	34.4434	0	5e-006
    50	30.1287	0	5e-006
    51	26.0132	0	5e-006
    52	22.1118	0	5e-006
    53	18.4394	0	5e-006
    54	15.0132	0	5e-006
    55	11.8531	0	5e-006
    56	8.98265	0	5e-006
    57	6.43013	0	5e-006
    58	4.22997	0	5e-006
    59	2.42492	0	5e-006
    60	1.06913	0	5e-006
    61	0.232964	0	5e-006
    62	47.9818	0	6.66667e-006
    63	47.9799	0	6.66667e-006
    64	47.9779	0	6.66667e-006
    65	47.9759	0	6.66667e-006
    66	47.9738	0	6.66667e-006
    67	47.9715	0	6.66667e-006
    68	47.9692	0	6.66667e-006
    69	47.9671	0	6.66667e-006
    70	47.9644	0	6.66667e-006
    71	47.9618	0	6.66667e-006
    72	47.959	0	6.66667e-006
    73	47.9562	0	6.66667e-006
    74	47.9533	0	6.66667e-006
    75	47.9502	0	6.66667e-006
    76	47.947	0	6.66667e-006
    77	47.9435	0	6.66667e-006
    78	47.9399	0	6.66667e-006
    79	47.9361	0	6.66667e-006
    80	47.9322	0	6.66667e-006
    81	47.9279	0	6.66667e-006
    82	47.9234	0	6.66667e-006
    83	47.9186	0	6.66667e-006
    84	47.9137	0	6.66667e-006
    85	47.9082	0	6.66667e-006
